y,x,diameter_px,ref_diameter_px,percent_diameter_stenosis,diameter_mm,ref_diameter_mm
0,392,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,391,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,390,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,389,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,388,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,387,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,386,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,385,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,384,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,383,8.94427190999916,11.661903789690601,23.303501181029663,1.967739820199815,2.5656188337319326
0,382,8.246211251235321,11.661903789690601,29.289321941979164,1.8141664752717708,2.5656188337319326
0,381,8.0,11.661903789690601,31.400566001820007,1.76,2.5656188337319326
0,380,8.0,11.661903789690601,31.400566001820007,1.76,2.5656188337319326
0,379,8.246211251235321,11.661903789690601,29.289321941979164,1.8141664752717708,2.5656188337319326
0,378,8.94427190999916,11.661903789690601,23.303501181029663,1.967739820199815,2.5656188337319326
0,377,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,376,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,375,10.0,11.661903789690601,14.250707502275006,2.2,2.5656188337319326
0,374,10.198039027185569,11.661903789690601,12.552536855464979,2.243568585980825,2.5656188337319326
0,373,10.770329614269007,11.661903789690601,7.645185560913726,2.3694725151391816,2.5656188337319326
0,372,11.661903789690601,11.661903789690601,8.574929655225105e-08,2.5656188337319326,2.5656188337319326
0,371,12.806248474865697,11.695713410721543,-9.49523140825761,2.8173746644704534,2.5730569503587395
0,370,14.142135623730951,12.0,-17.85113009954864,3.111269837220809,2.64
